row_id,record_type,participantId,age,gender,deviceMode,deviceUsed,block,trialInBlock,globalTrialIndex,startX,startY,targetX,targetY,clickX,clickY,amplitude,targetWidth,movementTimeMs,ID_Shannon,TP_bitsPerSec,hit,local_timestamp_KL,n_trials,avg_movementTimeMs,avg_TP_bitsPerSec,error_rate_percent
1,trial,C18,10,Male,mouse,mouse,1,1,1,720,373,285.24,378.54,294,356,434.79,60,859,3.0438,3.5434,1,"25/11/2025, 17:32:35",,,,
2,trial,C18,10,Male,mouse,mouse,1,2,2,285.24,378.54,687.32,418.53,681,414,404.06,45,995,3.3189,3.3356,1,"25/11/2025, 17:32:39",,,,
3,trial,C18,10,Male,mouse,mouse,1,3,3,687.32,418.53,1213.17,90.71,1209,81,619.66,60,966,3.5018,3.625,1,"25/11/2025, 17:32:43",,,,
4,trial,C18,10,Male,mouse,mouse,1,4,4,1213.17,90.71,947.64,626.64,944,627,598.1,45,883,3.837,4.3455,1,"25/11/2025, 17:32:48",,,,
5,trial,C18,10,Male,mouse,mouse,1,5,5,947.64,626.64,648.43,494.83,639,485,326.96,60,717,2.6892,3.7506,1,"25/11/2025, 17:32:52",,,,
6,trial,C18,10,Male,mouse,mouse,1,6,6,648.43,494.83,354.43,640.5,358,644,328.11,60,816,2.6934,3.3008,1,"25/11/2025, 17:32:56",,,,
7,trial,C18,10,Male,mouse,mouse,1,7,7,354.43,640.5,1347.59,250.73,1340,238,1066.91,30,1151,5.1923,4.5112,1,"25/11/2025, 17:33:01",,,,
8,trial,C18,10,Male,mouse,mouse,1,8,8,1347.59,250.73,304.13,593.72,283,599,1098.39,60,1215,4.271,3.5152,1,"25/11/2025, 17:33:05",,,,
9,trial,C18,10,Male,mouse,mouse,1,9,9,304.13,593.72,132.58,302.09,130,297,338.35,60,750,2.731,3.6413,1,"25/11/2025, 17:33:09",,,,
10,trial,C18,10,Male,mouse,mouse,1,10,10,132.58,302.09,155.37,637.28,160,621,335.97,60,869,2.7224,3.1327,1,"25/11/2025, 17:33:14",,,,
11,trial,C18,10,Male,mouse,mouse,2,1,11,155.37,637.28,69.17,595.27,67,591,95.9,30,948,2.0692,2.1827,1,"25/11/2025, 17:33:18",,,,
12,trial,C18,10,Male,mouse,mouse,2,2,12,69.17,595.27,451.28,412.21,448,407,423.7,45,1116,3.3807,3.0293,1,"25/11/2025, 17:33:22",,,,
13,trial,C18,10,Male,mouse,mouse,2,3,13,451.28,412.21,1248.06,667.59,1244,664,836.71,45,1197,4.2923,3.5859,1,"25/11/2025, 17:33:27",,,,
14,trial,C18,10,Male,mouse,mouse,2,4,14,1248.06,667.59,694.92,459.03,690,455,591.15,45,1219,3.8214,3.1348,1,"25/11/2025, 17:33:31",,,,
15,trial,C18,10,Male,mouse,mouse,2,5,15,694.92,459.03,508.42,478.33,503,471,187.5,30,1182,2.858,2.4179,1,"25/11/2025, 17:33:35",,,,
16,trial,C18,10,Male,mouse,mouse,2,6,16,508.42,478.33,907.14,436.9,900,432,400.87,45,1614,3.3086,2.0499,1,"25/11/2025, 17:33:40",,,,
17,trial,C18,10,Male,mouse,mouse,2,7,17,907.14,436.9,925.83,181.61,925,175,255.97,30,1633,3.2528,1.9919,1,"25/11/2025, 17:33:44",,,,
18,trial,C18,10,Male,mouse,mouse,2,8,18,925.83,181.61,363.67,580.62,361,577,689.37,45,1164,4.0285,3.4609,1,"25/11/2025, 17:33:48",,,,
19,trial,C18,10,Male,mouse,mouse,2,9,19,363.67,580.62,843.22,343.57,836,334,534.94,45,1267,3.6879,2.9107,1,"25/11/2025, 17:33:53",,,,
20,trial,C18,10,Male,mouse,mouse,2,10,20,843.22,343.57,116.64,369.42,112,359,727.04,60,1170,3.7134,3.1738,1,"25/11/2025, 17:33:57",,,,
21,summary,C18,10,Male,mouse,mouse,,,,,,,,,,,,,,,,,20,1086.55,3.232,0
22,summary,C18,10,Male,mouse,ALL,,,,,,,,,,,,,,,,,20,1086.55,3.232,0
