row_id,record_type,participantId,age,gender,deviceMode,deviceUsed,block,trialInBlock,globalTrialIndex,startX,startY,targetX,targetY,clickX,clickY,amplitude,targetWidth,movementTimeMs,ID_Shannon,TP_bitsPerSec,hit,local_timestamp_KL,n_trials,avg_movementTimeMs,avg_TP_bitsPerSec,error_rate_percent
1,trial,C22,8,Male,touch,touch,1,1,1,566.5,335,862.44,305.45,889,295,297.41,40,551,3.0764,5.5834,0,"12/12/2025, 14:24:30",,,,
2,trial,C22,8,Male,touch,touch,1,2,2,862.44,305.45,382.68,498.33,382,491,517.09,40,715,3.7998,5.3145,1,"12/12/2025, 14:24:31",,,,
3,trial,C22,8,Male,touch,touch,1,3,3,382.68,498.33,170.1,115.96,167,133,437.49,40,833,3.5774,4.2946,1,"12/12/2025, 14:24:33",,,,
4,trial,C22,8,Male,touch,touch,1,4,4,170.1,115.96,1020.6,448.62,372,427,913.24,54,299,4.1628,13.9226,0,"12/12/2025, 14:24:34",,,,
5,trial,C22,8,Male,touch,touch,1,5,5,1020.6,448.62,191.76,260.24,216,277,849.98,27,832,5.0215,6.0355,0,"12/12/2025, 14:24:36",,,,
6,trial,C22,8,Male,touch,touch,1,6,6,191.76,260.24,252.92,199.23,254,188,86.39,54,883,1.3784,1.561,1,"12/12/2025, 14:24:37",,,,
7,trial,C22,8,Male,touch,touch,1,7,7,252.92,199.23,303.7,269.23,295,273,86.48,27,683,2.0714,3.0328,1,"12/12/2025, 14:24:39",,,,
8,trial,C22,8,Male,touch,touch,1,8,8,303.7,269.23,732.52,428.91,739,449,457.58,40,1316,3.6369,2.7636,0,"12/12/2025, 14:24:40",,,,
9,trial,C22,8,Male,touch,touch,1,9,9,732.52,428.91,518.24,100.28,519,101,392.32,40,983,3.434,3.4934,1,"12/12/2025, 14:24:42",,,,
10,trial,C22,8,Male,touch,touch,1,10,10,518.24,100.28,554.62,387.22,550,390,289.24,54,766,2.6682,3.4833,1,"12/12/2025, 14:24:43",,,,
11,trial,C22,8,Male,touch,touch,2,1,11,554.62,387.22,1080.67,206.57,1095,173,556.2,27,2299,4.433,1.9282,0,"12/12/2025, 14:24:45",,,,
12,trial,C22,8,Male,touch,touch,2,2,12,1080.67,206.57,688.72,246.92,682,239,394.02,54,716,3.0525,4.2633,1,"12/12/2025, 14:24:46",,,,
13,trial,C22,8,Male,touch,touch,2,3,13,688.72,246.92,636.15,447.43,624,462,207.28,27,849,3.1172,3.6716,0,"12/12/2025, 14:24:48",,,,
14,trial,C22,8,Male,touch,touch,2,4,14,636.15,447.43,519.91,577.16,533,569,174.19,27,750,2.8975,3.8634,0,"12/12/2025, 14:24:49",,,,
15,trial,C22,8,Male,touch,touch,2,5,15,519.91,577.16,84.28,499.04,91,502,442.58,54,932,3.201,3.4345,1,"12/12/2025, 14:24:51",,,,
16,trial,C22,8,Male,touch,touch,2,6,16,84.28,499.04,202.98,283.3,204,290,246.24,40,1098,2.8391,2.5857,1,"12/12/2025, 14:24:52",,,,
17,trial,C22,8,Male,touch,touch,2,7,17,202.98,283.3,188.09,108.12,188,111,175.81,40,817,2.4317,2.9764,1,"12/12/2025, 14:24:54",,,,
18,trial,C22,8,Male,touch,touch,2,8,18,188.09,108.12,89.79,485.09,65,486,389.57,27,799,3.9475,4.9406,0,"12/12/2025, 14:24:55",,,,
19,trial,C22,8,Male,touch,touch,2,9,19,89.79,485.09,890.58,126.11,877,127,877.58,54,881,4.1086,4.6636,1,"12/12/2025, 14:24:57",,,,
20,trial,C22,8,Male,touch,touch,2,10,20,890.58,126.11,470.29,59.68,477,53,425.51,27,1185,4.0669,3.432,1,"12/12/2025, 14:24:58",,,,
21,summary,C22,8,Male,touch,touch,,,,,,,,,,,,,,,,,20,909.35,4.2622,40
22,summary,C22,8,Male,touch,ALL,,,,,,,,,,,,,,,,,20,909.35,4.2622,40
